sim_no,mobile_no,imsi,static_ip,apn,status,batch_id,sim_upload_time,sim_status
8991597052141848705,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848704,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848819,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848818,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848816,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848817,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848809,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848858,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848800,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848708,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848709,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848839,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848838,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848840,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848806,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848827,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848837,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848879,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848854,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848852,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848851,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848850,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848853,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991757111092469505,915752020027482,404759210469505,2001:4490:0800:6B59:0000:0000:0000:0001,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
8991597052141848821,#N/A,#N/A,#N/A,BSNLEDF,Active,Sim_Batch-15_09_2022_10:57:01,1663219621,UTILIZED
